# instance ub_pfs_csum ub_pfs_cmax
VFR600_40_1_Gap 10823949 33656
VFR600_40_2_Gap 10678033 33435
VFR600_40_3_Gap 10799825 33654
VFR600_40_4_Gap 10741208 33494
VFR600_40_5_Gap 10699427 33342
VFR600_40_6_Gap 10832704 33597
VFR600_40_7_Gap 10788797 33579
VFR600_40_8_Gap 10680459 33311
VFR600_40_9_Gap 10809443 33514
VFR600_40_10_Gap 10791755 33440
VFR600_60_1_Gap 12041857 35952
VFR600_60_2_Gap 12045538 35900
VFR600_60_3_Gap 12025222 35969
VFR600_60_4_Gap 12026209 35916
VFR600_60_5_Gap 12076881 35946
VFR600_60_6_Gap 11996401 35877
VFR600_60_7_Gap 12038658 35937
VFR600_60_8_Gap 12067964 35818
VFR600_60_9_Gap 12109094 36016
VFR600_60_10_Gap 12052077 35896
VFR700_20_1_Gap 12462020 36377
VFR700_20_2_Gap 12493179 36316
VFR700_20_3_Gap 12546348 36502
VFR700_20_4_Gap 12505160 36387
VFR700_20_5_Gap 12615626 36566
VFR700_20_6_Gap 12613222 36640
VFR700_20_7_Gap 12633435 36610
VFR700_20_8_Gap 12582915 36496
VFR700_20_9_Gap 12472593 36301
VFR700_20_10_Gap 12435677 36378
VFR700_40_1_Gap 14369819 38767
VFR700_40_2_Gap 14331534 38552
VFR700_40_3_Gap 14225505 38473
VFR700_40_4_Gap 14322418 38668
VFR700_40_5_Gap 14247857 38523
VFR700_40_6_Gap 14234796 38423
VFR700_40_7_Gap 14197707 38347
VFR700_40_8_Gap 14370105 38824
VFR700_40_9_Gap 14287743 38559
VFR700_40_10_Gap 14318043 38729
VFR700_60_1_Gap 15798728 41148
VFR700_60_2_Gap 15748792 41077
VFR700_60_3_Gap 15761936 41019
VFR700_60_4_Gap 15818918 41127
VFR700_60_5_Gap 15792995 41081
VFR700_60_6_Gap 15824919 41094
VFR700_60_7_Gap 15699749 40615
VFR700_60_8_Gap 15885806 41220
VFR700_60_9_Gap 15824197 40990
VFR700_60_10_Gap 15890062 41165
VFR800_20_1_Gap 16210004 41523
VFR800_20_2_Gap 16175223 41362
VFR800_20_3_Gap 16232883 41373
VFR800_20_4_Gap 16189964 41426
VFR800_20_5_Gap 16279305 41705
VFR800_20_6_Gap 16393581 41965
VFR800_20_7_Gap 16046562 41402
VFR800_20_8_Gap 16141953 41454
VFR800_20_9_Gap 16162928 41801
VFR800_20_10_Gap 16167724 41565
VFR800_40_1_Gap 18233265 43528
VFR800_40_2_Gap 18295624 43577
VFR800_40_3_Gap 18317278 43565
VFR800_40_4_Gap 18337563 43628
VFR800_40_5_Gap 18400263 43715
VFR800_40_6_Gap 18311339 43597
VFR800_40_7_Gap 18184174 43489
VFR800_40_8_Gap 18292850 43596
VFR800_40_9_Gap 18276197 43608
VFR800_40_10_Gap 18326210 43666
VFR800_60_1_Gap 20155848 46223
VFR800_60_2_Gap 20165942 46221
VFR800_60_3_Gap 20079863 46173
VFR800_60_4_Gap 20079888 46089
VFR800_60_5_Gap 20126125 46176
VFR800_60_6_Gap 20121428 46178
VFR800_60_7_Gap 20097752 46101
VFR800_60_8_Gap 20130414 46205
VFR800_60_9_Gap 20140038 46329
VFR800_60_10_Gap 20024895 46065
VFR800_60_10_Gap 20024895 46065
